iShares MSCI Global Silver and Metals Miners ETF
A fecha de,"12-may-2026"
Fecha de constitución,"31-ene-2012"
Acciones en circulación,"26,700,000.00"
% en Acciones,"-"
% del Bono,"-"
% en Efectivo,"-"
% en Otro,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"APM","ANDEAN PRECIOUS METALS CORP","Materiales","Renta Variable","4,859,454.90","0.44","4,859,454.90","931,758.00","5.22","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"HYMC","HYCROFT MINING HOLDING CLASS A","Materiales","Renta Variable","4,400,209.76","0.40","4,400,209.76","97,436.00","45.16","Estados Unidos","NASDAQ","USD","1.00","USD","-"
"KCN","KINGSGATE CONSOLIDATED LTD","Materiales","Renta Variable","2,582,732.90","0.24","2,582,732.90","539,614.00","4.79","Australia","Asx - All Markets","USD","1.38","AUD","-"
"GBP","GBP CASH","Liquidez","Cash","2,468,642.88","0.23","2,468,642.88","1,825,582.00","135.22","Reino Unido","-","USD","0.74","GBP","-"
"FFM","FIREFLY METALS LTD","Materiales","Renta Variable","2,282,300.10","0.21","2,282,300.10","1,602,390.00","1.42","Australia","Asx - All Markets","USD","1.38","AUD","-"
"APX","APEX MINING CLASS A INC","Materiales","Renta Variable","1,079,857.01","0.10","1,079,857.01","3,914,800.00","0.28","Filipinas","Philippine Stock Exchange Inc.","USD","61.49","PHP","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Liquidez","Money Market","698,822.09","0.06","698,822.09","698,822.00","1.00","Estados Unidos","-","USD","1.00","USD","-"
"CAD","CAD CASH","Liquidez","Cash","427,693.78","0.04","427,693.78","586,347.00","72.94","Canadá","-","USD","1.37","CAD","-"
"HKD","HKD CASH","Liquidez","Cash","232,044.74","0.02","232,044.74","1,816,551.00","12.77","Hong Kong","-","USD","7.83","HKD","-"
"WFFUT","CASH COLLATERAL CAD WFFUT","Liquidez","Cash Collateral and Margins","186,002.41","0.02","186,002.41","255,000.00","72.94","Estados Unidos","-","USD","1.37","CAD","23-ago-2017"
"MXN","MXN CASH","Liquidez","Cash","149,050.25","0.01","149,050.25","2,572,831.00","5.79","México","-","USD","17.26","MXN","-"
"PHP","PHP CASH","Liquidez","Cash","49,481.32","0.00","49,481.32","3,042,359.00","1.63","Filipinas","-","USD","61.49","PHP","-"
"AUD","AUD CASH","Liquidez","Cash","46,572.01","0.00","46,572.01","64,415.00","72.30","Australia","-","USD","1.38","AUD","-"
"BVR","BELLAVISTA RESOURCES LTD","Materiales","Renta Variable","30,987.27","0.00","30,987.27","77,926.00","0.40","Australia","Asx - All Markets","USD","1.38","AUD","-"
"ZAR","ZAR CASH","Liquidez","Cash","23,061.49","0.00","23,061.49","381,465.00","6.05","Sudáfrica","-","USD","16.54","ZAR","-"
"JPY","JPY CASH","Liquidez","Cash","10,105.11","0.00","10,105.11","1,592,970.00","0.63","Japón","-","USD","157.64","JPY","-"
"CNH","CNH CASH","Liquidez","Cash","2,459.82","0.00","2,459.82","16,713.00","14.72","China","-","USD","6.79","CNH","31-dic-1989"
"PTM6","S&P/TSE 60 INDEX JUN 26","Liquidez","Futures","0.00","0.00","3,476,012.98","12.00","1,448.34","-","The Montreal Exchange / Bourse De Montreal","USD","1.37","CAD","-"
"USD","USD CASH","Liquidez","Cash","-511,851.44","-0.05","-511,851.44","-511,851.00","100.00","Estados Unidos","-","USD","1.00","USD","-"
 
