iShares MSCI Global Gold Miners ETF
A fecha de,"13-may-2026"
Fecha de constitución,"31-ene-2012"
Acciones en circulación,"37,300,000.00"
% en Acciones,"-"
% del Bono,"-"
% en Efectivo,"-"
% en Otro,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"EMR","EMERALD RESOURCES","Materiales","Renta Variable","19,638,419.25","0.63","19,638,419.25","4,322,601.00","4.54","Australia","Asx - All Markets","USD","1.38","AUD","-"
"RRL","REGIS RESOURCES LTD","Materiales","Renta Variable","19,137,235.00","0.61","19,137,235.00","3,838,269.00","4.99","Australia","Asx - All Markets","USD","1.38","AUD","-"
"ANTM","PT ANTAM TBK","Materiales","Renta Variable","17,293,647.29","0.55","17,293,647.29","86,295,300.00","0.20","Indonesia","Indonesia Stock Exchange","USD","17,465.00","IDR","-"
"RSG","RESOLUTE MINING LTD","Materiales","Renta Variable","13,798,989.48","0.44","13,798,989.48","13,728,101.00","1.01","Australia","Asx - All Markets","USD","1.38","AUD","-"
"601899","ZIJIN MINING GROUP LTD A","Materiales","Renta Variable","13,746,536.66","0.44","13,746,536.66","2,692,235.00","5.11","China","Shanghai Stock Exchange","USD","6.79","CNY","-"
"TRALT.E","KOZA ALTIN ISLETMELERI A","Materiales","Renta Variable","12,117,331.26","0.39","12,117,331.26","11,719,183.00","1.03","Turquía","Istanbul Stock Exchange","USD","45.42","TRY","-"
"MUX","MCEWEN INC","Materiales","Renta Variable","9,561,732.48","0.31","9,561,732.48","368,894.00","25.92","Estados Unidos","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OBM","ORA BANDA MINING LTD","Materiales","Renta Variable","9,256,899.76","0.30","9,256,899.76","9,209,345.00","1.01","Australia","Asx - All Markets","USD","1.38","AUD","-"
"CYL","CATALYST METALS LTD","Materiales","Renta Variable","6,907,770.15","0.22","6,907,770.15","1,672,779.00","4.13","Australia","Asx - All Markets","USD","1.38","AUD","-"
"WAF","WEST AFRICAN RESOURCES LTD","Materiales","Renta Variable","6,243,118.80","0.20","6,243,118.80","2,598,882.00","2.40","Australia","Asx - All Markets","USD","1.38","AUD","-"
"2259","ZIJIN GOLD INTERNATIONAL LTD","Materiales","Renta Variable","3,664,454.01","0.12","3,664,454.01","173,700.00","21.10","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"ZAR","ZAR CASH","Liquidez","Cash","1,547,569.12","0.05","1,547,569.12","25,426,638.00","6.09","Sudáfrica","-","USD","16.43","ZAR","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Liquidez","Money Market","1,431,005.07","0.05","1,431,005.07","1,431,005.00","1.00","Estados Unidos","-","USD","1.00","USD","-"
"CAD","CAD CASH","Liquidez","Cash","1,032,909.25","0.03","1,032,909.25","1,415,550.00","72.97","Canadá","-","USD","1.37","CAD","-"
"HKD","HKD CASH","Liquidez","Cash","822,470.02","0.03","822,470.02","6,440,516.00","12.77","Hong Kong","-","USD","7.83","HKD","-"
"GBP","GBP CASH","Liquidez","Cash","391,141.54","0.01","391,141.54","289,424.00","135.14","Reino Unido","-","USD","0.74","GBP","-"
"AUD","AUD CASH","Liquidez","Cash","365,497.50","0.01","365,497.50","503,614.00","72.58","Australia","-","USD","1.38","AUD","-"
"WFFUT","CASH COLLATERAL USD WFFUT","Liquidez","Cash Collateral and Margins","265,000.00","0.01","265,000.00","265,000.00","100.00","Estados Unidos","-","USD","1.00","USD","23-ago-2017"
"CNH","CNH CASH","Liquidez","Cash","87,253.12","0.00","87,253.12","592,283.00","14.73","China","-","USD","6.79","CNH","31-dic-1989"
"TRY","TRY CASH","Liquidez","Cash","85,381.85","0.00","85,381.85","3,877,788.00","2.20","Turquía","-","USD","45.42","TRY","-"
"PLZL","POLYUS","Materiales","Renta Variable","8.51","0.00","8.51","625,470.00","0.00","Rusia","Standard-Classica-Forts","USD","73.48","RUB","01-ene-1970"
"PTM6","S&P/TSE 60 INDEX JUN 26","Liquidez","Futures","0.00","0.00","4,884,468.61","17.00","1,436.61","-","The Montreal Exchange / Bourse De Montreal","USD","1.37","CAD","-"
"USD","USD CASH","Liquidez","Cash","-459,230.42","-0.01","-459,230.42","-459,230.00","100.00","Estados Unidos","-","USD","1.00","USD","-"
 
